D94.	Transformation: man to ogre.
G200.	Witch. *Types 405, 432, 442, 708, 710, 711; **Kittredge Witchcraft; *Vordemfelde Die Hexe im deutschen Volksmärchen (Mogk Fest- schrift 588); *Fb "heks” IV 206a; Hansen Zauberwahn, Inquisition und Hexenprozess im Mittelalter (München and Leipzig, 1900), ibid. Quellen und Untersuchungen zur Geschichte des Hexenwahns und der Hexenverfolgung in den österr. Alpenländern (1934); Hdwb. d. Abergl. III 1827–1920; R. F. Fortune Sorcerers of Dobu (London, 1932); M. A. Murray The Witch-Cult in Western Europe (Oxford, 1921); M. Summers The History of Witchcraft and Demonology (Lon- don, 1926); *Arne Runeberg Witches, Demons and Fertility Magic (Helsinki, 1947); A. Mayer Erdmutter und Hexe (München, 1936); *Hoffman-Krayer Zs. f. Vksk. XXV 117. Irish myth: *Cross; Scotch: Macdougall and Calder 235 (“glastig"); Icelandic: *Boberg; Lappish: Hartland Science 173; Finnish-Swedish: Wessman 81ff. Nos. 673—739; Jewish: *Neuman; Arabian: Burton Nights I 28, 76, 333, II 233—238, VI 158, 242n., VIII 131, S VI 325ff., 452; India: *Thompson- Balys, Penzer X 362 s.v. “Witch"; Mono: Wheeler 45; Papua: Ker 21, 31, 68; Tuamotu: Stimson MS (2-G. 13/499); S. A. Indian (Toba):   ## p. 286 (#304) ############################################  286 Motif-Index of Folk-Literature Métraux MAFLS XL 77, (Araucanian): Alexander Lat. Am. 328; Africa: *Werner African 333ff., (Basuto): Jacottet 236 No. 34.
C782.2.	Tabu: selling to witch.
C784.1.	Tabu: lending to witch.
D1385.16.3.	Magic hymn protects against spells of women.
D1711.	Magician.
D2070.	Bewitching.
E501.2.3.	Witches in wild hunt.
F360.	Malevolent or destruc. tive fairies.
F402.	Evil spirits. Demons.
F971.1.2.	Witch's horse-switch blossoms.
G11.3.	Cannibal witch.
P427.0.3.	Women druids.
Q212.1.	Theft from dwarf (witch) revenged.
Q414.0.10.	Burning for witchcraft.
G201.	Three witch sisters. Sometimes simply three hags. *BP I 114; *R. Drinkuth Hessische Blätter f. Vksk. XXXII 109—154, XXXIII 1—77; *Von Sydow Två Spinnsagor 68ff.; Irish myth:*Cross; Icelandic: MacCulloch Eddic 245; India: Thompson-Balys.
A463.1.	The fates.
G201.1.	Three witches (hags) deformed from much spinning. *Type 501; *Von Sydow Två Spinnsagor.
G224.	Source of witch's magic.
J51.	Sight of deformed witches causes man to release wife from spinning duty.
M233.	Three deformed witches invited to wedding in exchange for help.
G202.	Beneficent witches. Papua: Ker 52, 127.
G203.	Origin of witches. Icelandic: Boberg.
G203.1.	Witch daughter of fairy and man. Icelandic: Boberg.
G203.2.	Witches come forth at emergence of mankind. N. A. Indian (Zuñi): Benedict 344.
A1232.	Mankind ascends from under the earth.
G204.	Girl in service of witch. *Types 310, 428; Herrmann Saxo II 485.
G462.	Person as servant in ogre's house.
G205.	Witch stepmother. *Types 403, 450; Icelandic: *Boberg; Lithuanian: Balys Index Nos. *453, *481; Africa (Basuto): Jacottet 266 No. 40, (Ekoi): Talbot 401; Jamaica: *Beckwith MAFLS XVII 268 No. 80.
M411.1.1.	Curse by stepmother.
P18.1.	After highly mourned wife's death the king marries another who turns out to be an evil witch.
S31.	Cruel stepmother.
G206.	Witch has (three) giant sons. Irish myth: *Cross.
F531.6.1.	Origin of giants.
G207.	Male witch. North Carolina: Brown Collection I 648.
G210.	Form of witch.
G210.0.1.	Witch invisible. (Cf. A11, D1980,
E421.	1,
G303.6.2.	1,
F235.	1,
E501.1.	) England: *Baughman.
G211.	Witch in animal form. Kittredge Witchcraft 174 nn. 143.
D630.	Transformation and disenchantment at will.
F531.1.8.	Giant in animal form.
G303.3.	Forms in which the devil appears.
G303.3.3.	The devil in animal form.
G211.1.	Witch in form of domestic beast.
G211.1.1.	Witch in form of horse. (Cf.
D131.	) Köhler-Bolte I 220, 586; *Fb “Troms kirke" III 858b; Tobler 45; England, Scotland, Wales, U.S.: Baughman; Icelandic: Corpus Poeticum Boreale I 153, Boberg; Hindu: Tawney I 342.
G211.1.1.1.	Witch in form of headless horse. *Fb "föl" I 400.   ## p. 287 (#305) ############################################  G. Ogres 287
G211.1.1.2.	Witch as horse shod with horseshoes. Köhler-Bolte I 220, 586; *Fb “Troms kirke" III 858b; Tobler 44; England, Scotland, U.S.: Baughman; Swiss: Jegerlehner Oberwallis 322 No. 91.
D535.1.	Transformation to horse by being horse-shod.
F551.1.2.1.	Woman with horseshoe on one foot.
G211.1.2.	Witch in form of mule. U.S.: Baughman.
G211.1.3.	Witch in form of cow. England, U.S.: *Baughman.
G211.1.4.	Witch in form of sheep. England, U.S.: *Baughman.
G211.1.5.	Witch in form of goat. (Cf.
G262.3.1.	) U.S.: Baughman.
G211.1.6.	Witch in form of hog. England, U.S., Wales: *Baughman.
G211.1.7.	Witch in form of cat. (Cf.
D142.	) Fb "kat” II 107b, IV 255b; Tobler 42; Irish myth: Cross; England, Wales, U.S.: Baughman; North Carolina: Brown Collection I 659; Icelandic: *Boberg; Swiss: Jeger- lehner Oberwallis 325 No. 15; German: Grimm No. 69; Spanish: Espinosa Jr. Nos. 167–172.
G211.1.8.	Witch in form of dog. (Cf.
D141.	) *Fb "heks” I 581a; Tobler 41; Kittredge Witchcraft 176f. nn. 22—29; England: Baughman; Lithuanian: Balys Legends No. 438; Spanish: Espinosa Jr. No. 173; West Indies: Flowers 441; S. A. Indian (Arawak of Surinam): Jijena Sanchez 23.
G211.2.	Witch in form of wild beast.
G211.2.1.	Witch in form of bear. (Cf.
D113.2.	) Fb “heks” I 581a.
G211.2.2.	Witch in form of wolf. (Cf.
D113.1.	) Fb “heks”; Icelandic: Snor- ra Edda Gylf. XII, *Boberg; Swiss: Jegerlehner Oberwallis 307 No. 31, 315 No. 124.
G211.2.3.	Witch in form of fox. (Cf.
D113.3.	) Fb “heks” I 581a; U.S.: Baughman; Swiss: Jegerlehner Oberwallis 304 No. 25; Japanese: Anesaki 325f.
G211.2.4.	Witch in form of deer. England, Scotland, U.S.: *Baughman; India: Thompson-Balys.
G211.2.4.1.	Witch in form of stag. Irish myth: Cross; India: *Thompson- Balys.
G211.2.5.	Witch in form of mouse. (Cf.
D117.1.	) Fb “heks” I 581a.
G211.2.6.	Witch in form of rat. England, U.S.: *Baughman.
G211.2.7.	Witch in form of hare. (Cf.
D123.	) Fb "hare" I 556; Kittredge Witchcraft 179 nn. 45–49; Irish myth: Cross; England, Scotland, Wales, U.S.: Baughman. transforms self to hare so as to suck cows. ::::::::::::::::::::---
D655.2.	Witch
G211.2.7.1.	Witch as hare allows self to be coursed by dogs for pay or for sport. England, Ireland, Scotland, U.S., Wales: *Baughman.
G211.2.8.	Witch as raccoon. U.S.: Baughman.
G211.2.9.	Witch as hedgehog. England: *Baughman.
G211.2.10.	Witch in form of bat. England: Baughman.
G211.3.	Witch in form of domestic bird.   ## p. 288 (#306) ############################################  288 Motif-Index of Folk-Literature
G211.3.1.	Witch in form of hen. (Cf.
D166.	) *Fb "höne” I 750b; U.S.: Baugh- man.
G211.3.1.1.	Witch in form of rooster. U.S.: Baughman.
G211.3.2.	Witch in form of duck. (Cf.
D165.	) *Fb "and” IV 12b.
G211.3.3.	Witch in form of goose (gosling). England: Baughman.
G211.4.	Witch in form of wild bird. U.S.: *Baughman.
G211.4.1.	Witch in form of crow. (Cf.
D151.4.	) Fb “krage” II 285b; U.S.: Baughman; India: Thompson-Balys.
G211.4.2.	Witch in form of partridge. U.S.: Baughman.
G211.4.3.	Witch in form of heath hen. U.S.: Baughman.
G211.4.4.	Witch in form of owl. U.S.: Baughman.
G211.4.5.	Witch in the form of buzzard. U.S.: Baughman.
G211.5.	Witch in form of an insect.
G211.5.1.	Witch in form of fly. (Cf.
D185.	) Fb "flue" I 315.
G211.5.2.	Witch in form of bee. India: Thompson-Balys.
G211.5.3.	Witch in form of beetle. U.S.: *Baughman.
G211.6.	Witch in amphibian form.
G211.6.1.	Witch in form of toad. (Cf.
D196.	) Fb "tudse” III 888b; England, Wales, U.S.: Baughman.
G211.6.2.	Witch in form of crocodile. Africa: Stanley 100.
G211.7.	Witch in form of fish.
G211.7.1.	Witch in form of whale.1 North Carolina: Brown Collection I 644; Icelandic: Ketils saga H. 116, 131, Hjálmters saga ok Ölvers 507 -08, Boberg.
G211.8.	Witch in form of reptile.
G211.8.1.	Witch in form of snake. England, U.S.: Baughman; Cheremis: Sebeok-Nyerges; India: *Thompson-Balys.
G211.9.	Witch in form of mythical animal. Icelandic: *Boberg.
G211.9.1.	Witch in form of dragon. (Cf.
D119.2.	). Icelandic: *Boberg.
D199.2.	Transformation: man to dragon.
D199.2.1.	Magician fights as dragon.
G212.	Witch in form of object. (Cf.
D200.	)
G212.1.	Witch in form of blade of straw. Tobler 45; Wales: Baughman.
G212.2.	Witch in form of cookstove. U.S.: Baughman.
G212.3.	Witch in form of a scroll. England: Baughman.
G212.4.	Witch in form of a tree. England: Baughman. 1 In folk thought, a fish.   ## p. 289 (#307) ############################################  e 289 G. Ogres le" 12.
G212.5.	Witch in form of ball of fire. (Cf. F491,
E742.2.	) England: Baugh- man. man
G213.	Witch with extraordinary eyes.
F541.2.	Eye with picture in the pupil. Witch with picture of cat (dog) in pupil. ard
G213.1.	One-eyed witch. Irish myth: *Cross; Icelandic: Boberg.
A128.2.	One-eyed god.
F512.1.	Person with one eye.
F512.1.2.	Three women have but one eye among them. Pass it around. ka
G213.2.	Witch with red eyes. Danish: Kristensen Danske Sagn V (1897) 233ff., (1934) 188ff.; Swiss: Jegerlehner Oberwallis 325 No. 11.
G213.3.	Witch with receding eyes. Irish myth: Cross.
G213.4.	Witch with blazing eyes. Irish myth: Cross.
G214.	Witch with extraordinary teeth.
F513.1.	Person unusual as to his teeth.
F531.1.6.2.	Giant with teeth like those of a saw.
G88.	Cannibal has long tooth and long nail.
G214.1.	Witch with long teeth. Fb "tand” III 771ab; Hoffman-Krayer Zs. f. Vksk. XXV 118; Irish myth: *Cross; German: Grimm No. 24.
G214.2.	Witch with iron teeth. Hoffman-Krayer Zs. f. Vksk. XXV 117.
G214.3.	Witch with nine rows of teeth. Irish myth: Cross.
G214.4.	Witch with twisted tusks (reaching to her shoulders). Irish myth: Cross. lys
G215.	Witch extraordinary as to head.
F511.	Person unusual as to his head.
F531.1.2.	Head of giant. II 5.1
G215.1.	Seven-headed witch. Jamaica: *Beckwith MAFLS XVII 268 Nos. 79, 80:
B11.2.3.1.	Seven-headed dragori.
B15.1.2.6.1.	Seven-headed serpent.
F531.1.2.2.	Many-headed giant.
G11.17.	Seven-mouthed cannibal ogre.
G275.4.	Seven-headed witch defeated by throwing egg at each head.
G304.1.3.	Many-headed troll. 320.
G216.	Witch with extraordinary feet.
F517.	Person unusual as to his legs.
F531.1.3.	Feet of giant. F551, Re- markable feet.
G303.4.5.	The devil's feet and legs.
G216.1.	Witch with goose feet. *Hoffman-Krayer Zs. f. Vksk. XXV 117f. E 422.1.6. Revenant with chicken feet.
F451.2.2.2.	Dwarf with bird feet. 1
G217.	Witch with enormous hands. India: Thompson-Balys.
F552.	Remarkable hands.
G219.	Form of witch-miscellaneous. 5
G219.1.	Witch with iron members. *Hoffman-Krayer Zs. f. Vksk. XXV 118 nn. 7-9.
G219.2.	Witch (troll-woman) with beard. Fb “mus” II 631b.
G219.3.	Witch has long nails. Irish myth: Cross.
F531.1.6.	Other bodily characteristics of giant.
F544.3.	Remarkable teeth,
G88.	Cannibal has long tooth and long nail.
G219.4.	Witch with very long hair. Irish myth: Cross; Icelandic: *B0- berg.
B81.9.1.	Mermaid's hair reaches to her waist.
G221.1.	Strength of witches in hair. 19   ## p. 290 (#308) ############################################  290 Motif-Index of Folk-Literature
G219.5.	Wrinkled witch. Irish myth: Cross.
G219.6.	Witch is twisted, bony (has lumps on body). Irish myth: *Cross.
G219.7.	Black witch. Icelandic: *Boberg.
B292.6.	Black cat as servant of giant.
B631.	Human offspring from marriage to animal. E 423.1.2. Revenant as cat.
F527.5.	Black man.
F531.1.7.2.	Black giant.
F531.6.1.3.	Giant son of black cat.
G303.3.1.6.	The devil as a black man.
G219.8.	Tailed witch.
G219.8.1.	Witch with fifteen tails. Icelandic: Corpus Poeticum Boreale I 357, Boberg.
G219.8.2.	Witch with knife-like tail. Eskimo (West Hudson Bay): Boas BAM XV 183.
G219.9.	Witch's back covered with nails and broken glass. Type 480; Roberts 169.
G220.	Characteristics of witches.
G220.0.1.	“Black" and "white" witches. Malevolent and benevolent. U.S.: Baughman.
G220.0.2.	Sex of witches. Both men and women are called witches. England: *Baughman.
G221.	Strength of witches.
G221.1.	Strength of witches in hair. *Fb “hår” I 771b.
B81.9.1.	Mermaid's hair reaches her waist.
D1831.	Magic strength resides in hair.
G219.4.	Witch with very long hair.
G221.1.1.	Witch's hair has power to bind or to transform. *BP I 554; Scotch: Macdougall and Calder 231, 237, 239; Spanish: Espinosa Jr. No. 68.
G221.2.	Strength of witches depends on their touching earth. Swiss: Jegerlehner Oberwallis 316 No. 128.
D1833.	Magic strength by touching earth.
G221.3.	Witch has extraordinary bodily strength. (Cf. D1830,
F610.	) Irish myth: Cross; Icelandic: Boberg.
G221.3.1.	Witch marks stone with finger marks. U.S.: Baughman.
G221.4.	Witch cannot be hurt if she looks attacker in the face. Eskimo (Greenland): Rink 372.
G222.	Luminous witches.
G222.1.	When devil combs witches, sparks fly. Fb "kjæmme" II 148.
G222.2.	Luminous witch-boat. Carries fishermen to bottom of sea. S. A. Indian (Araucanian): Alexander Lat. Am. 328.
F401.2.	Luminous spirits.
G223.	Head of beheaded witch mends if rubbed with salt. *Fb “hoved" I 654b.
E783.	Vital head. Retains life after being cut off.
G224.	Source of witch's magic. Spanish: Espinosa Jr. Nos. 151–159.
G224.1.	Witch's charm opposite of Christian. Must be "Without God and Holy Mary” instead of “With God, etc.” (Cf.
G224.5.	) Spanish: Boggs   ## p. 291 (#309) ############################################  G. Ogres 291 FFC XC 84 No. *746, Espinosa Jr. Nos. 151, 153, 154; England, Ireland, Wales, U.S.: Baughman; West Indies: Flowers 441.
A1756.	Devil produces animals only in God's name.
D1681.	Charm in- correctly uttered will not work. VO. Religious services.
G224.2.	Witch's salve. Source of magic power. *Fb “salve" III 151b; Irish myth: Cross; Spanish: Espinosa Jr. No. 150—158.
D1244.	Magic salve (ointment).
G241.2.2.	Person enchanted by witch's salve so as to be ridden by witch.
G242.1.1.	Witch smears fat on brooms in preparation for flight.
G224.3.	Witches get their powers from books. (Cf.
D1266.	) England, U.S., Wales: *Baughman.
G224.4.	Person sells soul to devil in exchange for witch powers. (Cf. G281, M211, K210ff.) England, U.S.: *Baughman.
G224.5.	Witch's power received by altering religious ceremony. (Cf.
G224.1.	) Ireland, U.S.: *Baughman.
G224.6.	Witch power acquired by standing on manure pile, swinging red lantern, looking over shoulder. U.S.: Baughman.
G224.7.	Witch gets power by licking brew made from a serpent. (Cf.
B217.1.1.	) Scotland: Baughman.
G224.8.	Person gets witch power by walking twelve times around a church backward at midnight. England: Baughman.
G224.9.	Witch power is inherited. England: *Baughman.
G224.10.	Witch power is transferred from one person to another. (Cf.
D1751.	) England, U.S.: *Baughman.
G224.11.	Witch power from bone (“witch bone").
G224.11.1.	Witch bone from toad. England: *Baughman.
G224.11.2.	Witch bone from cat. U.S.: Baughman.
G224.12.	Word charm gives witch power. (Cf.
D1273.	) England, Scotland: *Baughman.
G224.13.	Other sources of witch's power.
G224.13.1.	Witch uses bottle of horse-nail stumps to bewitch people. (Cf.
D1274.1.	) England: Baughman.
G224.14.	Witches renew powers periodically. England, U.S.: *Baughman.
G225.	Witch's familiar spirit. Argentina: *Jijena Sanchez 73—114.
B292.	Animal in service to man.
F403.	Good spirits.
G241.1.	Witch rides on unusual animal.
G225.0.1.	Witch feeds animal familiar with her own blood. Kittredge Witchcraft 179 nn. 51–53; England: Baughman.
G225.0.2.	Familiar is given to witch by devil when person becomes witch. England, U.S.: *Baughman.
G225.0.3.	Familiars do work for witch. England: Baughman.
G225.0.4.	Bullets will not harm witch's familiars. Argentina: Jijena Sanchez 81 (D1840).
G225.0.5.	Familiar's abode is magician's cellar. Argentina: Jijena San- chez 85. 19+   ## p. 292 (#310) ############################################  292 Motif-Index of Folk-Literature
G225.0.5.1.	Familiar's abode is hearth of magician. Argentina: Jijena Sanchez 84, 92.
G225.0.6.	Familiar comes at nightfall and disappears at cockcrow. (Cf.
E452.	) Argentina: Jijena Sanchez 86f.
G225.0.7.	Familiar to be fed on human meat. Argentina: Jijena Sanchez 88, 90. on cat.
G225.1.	Insect as witch's familiar. (Fly, bee, gnat, spider.) Kittredge Witchcraft 180 n. 54; Tobler 40; England: Baughman.
E734.	Soul in form of insect.
G225.2.	Horse as witch's companion. *Howey 172ff.; Argentina: Jijena Sanchez 76, 87.
G225.3.	Cat as servant of witch. Fb “kat" II 107; Kittredge Witchcraft 177f. n. 36; England, U.S.: Baughman; North Carolina: Brown Col- lection I 660, 664; Icelandic: Boberg.
B181.1.	Magic cat.
B292.6.	Black cat as servant of giant.
E423.1.2.	Re- venant as cat.
F531.6.1.3.	Giant son of black cat.
G241.1.4.	Witch rides
G252.	Witch in form of cat has paw cut off.
G225.4.	Toad as witch's familiar. (Cf.
G303.10.2.	) Kittredge Witchcraft 182 nn. 76–87; England: Baughman; Argentina: Jijena Sanchez 76.
G225.5.	Witch has an army of dragons, lions and bears. Icelandic: þidriks saga II 271—75, Boberg.
G225.6.	Dog as witch's familiar. England: *Baughman; Argentina: Jijena Sanchez 76, 85; German: Grimm No. 85.
G225.7.	Other animal as witch's familiar. England, U.S.: *Baughman.
G225.7.1.	Magician's familiar a pig. Argentina: Jijena Sanchez 76.
G225.7.2.	Magician's familiar a viper. Argentina: Jijena Sanchez 76, 92.
G225.8.	Minor devil or imp as witch’s familiar. England, U.S.: *Baugh- man.
G229.	Characteristics of witches-miscellaneous.
D1987.1.	Magic disappearance of witch.
G201.1.	Three witches (hags) deformed from much spinning.
G229.1.	Soul of witch leaves the body. England, U.S.: Baughman; Swiss: Jegerlehner Oberwallis 315 No. 124.
E721.	Soul journeys from the body.
G251.1.	Witch recognized by seeing wasp (beetle) enter her mouth while asleep.
G229.1.1.	Witch who is out of skin is prevented from reentering it when person salts or peppers skin. (Cf.
G275.8.1.	) England, U.S.: *Baugh- man.
G229.2.	Witch carries her children in her own body. Jamaica: *Beck- with MAFLS XVII 269 No. 82.
F1034.	Person concealed in another's body.
G229.3.	Witches lack bread and salt. Fb “salt” III 148a.
G229.4.	Invulnerability of witches. Irish myth: Cross; Icelandic: *B0- berg.
D1840.	Magic invulnerability.
G229.4.1.	Witch can be killed only by certain lance. Irish myth: Cross. 2312. Unique deadly weapon. Only one thing will kill a certain man.   ## p. 293 (#311) ############################################  G. Ogres 293
G229.4.2.	Witch can catch bullets and send them back. (Cf.
G265.8.3.1.2.	) Lithuanian: Balys Historical.
G229.4.3.	Witch's body does not bleed when stuck with sharp object. (Cf.
G225.0.	1,
G273.6.	) England: Baughman.
G229.4.4.	Witch says her knees are beads (liver is lead, stomach is cop- per, or the like). Eskimo (West Hudson Bay): Boas BAM XV 312.
