A1541.	Origin of religious feasts.
V449.	Religious virtues. Charity. *Encyc. Rel. Ethics Index 111c; Spanish Exempla: Keller; Jewish: *Neuman.
D1500.1.10.3.	Money from offertory as cure.
F1095.	Arm grows longer from giving alms.   ## p. 472 (#476) ############################################  472 Motif-Index of Folk-Literature
V410.	Charity rewarded. Irish: O'Suilleabhain 22, Beal XXI 307, 337; Spanish: Espinosa Jr. No. 137, 200-204; Jewish: *Neuman.
Q42.	Generosity rewarded.
V410.1.	Charity rewarded above prayer or hearing of masses. Irish: O'Suilleabhain 131; Spanish: Boggs FFC XC 87 No. 756E*.
V410.2.	Prince's motto: charity conquers. India: *Thompson-Balys.
V411.	Miraculous reward for charities. India: Thompson-Balys.
V411.1.	Queen gives away a sleeve of her dress: miraculously restored. Pauli (ed. Bolte) No. 322.
V411.2.	Saint exchanges coat with beggar: gold sleeves miraculously appear. Herbert III 6; Crane Vitry 173 No. 92.
V411.3.	Man who has given all in charity has foot amputated: restored miraculously. Alphabet No. 81; Spanish Exempla: Keller.
V411.4.	Stones turn to gold for charitable money-lender. Hence money borrowed for wedding is never refused by lenders. India: Thomp- son-Balys.
A1550.	Origin of customs of courtship and marriage.
D475.1.	Transforma- tion objects to gold.
V411.5.	Treasure given away by saint miraculously restored. Irish myth: *Cross.
V224.	Miraculous replacement of objects (animals) for saint.
V411.5.1.	Man earns as much as hè gave away for charity in his former life. India: Thompson-Balys.
V411.6.	Food given away by saint miraculously restored. Irish myth: *Cross.
V411.7.	Charitable king blows nose after having given to beggar. Huge ruby appears in his kerchief. Spanish Exempla: Keller.
V411.8.	Jesus appears to St. Martin when he gives his cloak to beggar. Spanish Exempla: Keller.
V411.9.	Charity miraculously repaid: flame settles on forehead. India: Thompson-Balys.
V412.	Miraculous manifestations during act of charity. *Ward III 7; *Crane Vitry Nos. 92, 94, 95.
V412.1.	Bread stolen by St. Nicholas for purpose of feeding poor is miraculously restored. Spanish Exempla: Keller.
V412.2.	The more bread (flour) the monks give to the poor the more God places in their bins. (Cf.
D1652.1.1.	) Spanish Exempla: Keller.
V413.	Son's acts of charity save his father's soul. English: Wells 175 (The Child of Bristowe).
V414.	Saint shares punishment of sinful man whose cloak he shared in life. Irish myth: Cross.
V415.	Children envious of money given by deceased father to bishop. In vision they take their father's body up and find a quittance saying that he has received more than a hundredfold reward. Alphabet No. 302; Spanish Exempla: Keller.   ## p. 473 (#477) ############################################  V. Religion 473
V416.	Act of charity obliterates sin.
V416.1.	Man convicted of cheating at his bookkeeping is excused when it is learned that he has given the money to the poor. Spanish Ex- empla: Keller.
V420.	Reward of the uncharitable.
Q286.	Uncharitableness punished.
V421.	Shipman refuses alms: ship turned to stone. Alphabet No. 608.
D471.3.	Transformation: ship to stone.
Q585.1.	Destruction of property uncharitably refused.
V422.	Uncharitable knight drives bargain even in giving alms: devoured by serpents. His alms of corn turn to serpents. *Herbert III 334 No. 7, 340.
V425.	Uncharitable pope wanders after death. Alphabet No. 294.
V430.	Charity-miscellaneous motifs.
V431.	Charity of usurers ineffective. Alphabet Nos. 260, 754, 786, 789, 792; Irish: Beal XXI 337; Spanish: Espinosa Jr. No. 213.
E411.4.	Usurer cannot rest in grave.
V432.	Man beggars self by charity. India: *Thompson-Balys.
L432.	Impoverished husband begs from wife's new husband.
V433.	Charity of saints. Irish myth: *Cross.
V434.	Conqueror restores kingship to king for charity. Irish myth: Cross.
V435.	Pious man charitable to man who has formerly refused him charity. India: Thompson-Balys.
L432.	Impoverished husband begs from wife's new husband.
V436.	Mendicant refuses to accept alms from barren woman. India: Thompson-Balys.
V437.	Saint repeatedly bestows father's goods upon the poor. Irish myth: Cross.
V438.	Merit for charity lost by asking work in return. India: Thomp- son-Balys.
V440.	Other religious virtues. Irish myth: Cross.
V441.	Forgiveness. Irish myth: Cross. 7441.1. Saint heals enemy. Irish myth: *Cross. V450-
V499.	Religious orders.
V450.	Religious orders. *Encyc. Rel. Ethics Index 384a, 389b; Irish myth: Cross.
J1260.	Repartee based on church or clergy.
J1265.	Repartee based on church government.
P120.	Church dignitaries.
P426.	Clergy.
P426.3.	Monks.
P427.1.2.	Druids as priests.
T93.2.	Disappointed lover becomes monk.
X410.	Jokes on parsons.
V451.	First-born son and one of every ten born thereafter given to Church. Irish myth: Cross.   ## p. 474 (#478) ############################################  474 Motif-Index of Folk-Literature
V453.	Levites as religious order. Jewish: *Neuman.
V460.	Clerical virtues and vices.
H1573.1.2.	Loathly deed performed as evidence of Christian virtue.
V461.	Clerical virtue. Irish myth: *Cross.
V461.1.	Obedient and industrious nun the worthiest in the convent. Pauli (ed. Bolte) No. 690; Alphabet No. 322; Spanish Exempla: Keller.
V461.2.	Truthful monk refuses to cheat even for his order. Pauli (ed. Bolte) No. 111.
V461.3.	Chastity as clerical virtue. Irish myth: *Cross.
T300.	Chastity and celibacy.
V461.4.	Submission as clerical virtue. Irish myth: Cross.
V461.4.1.	Truthfulness as clerical virtue. Irish myth: Cross.
V461.5.	Extended meditation as clerical virtue. Irish myth: Cross.
V461.6.	Monk lives where people speak ill of him to avoid danger of flattery. Spanish Exempla: Keller.
V461.7.	Clerical virtue of absolute faith. Man captured by robbers is so confident that God will protect him that he is saved. Spanish Exempla: Keller.
V461.8.	Poverty as saintly virtue. Irish myth: Cross.
V462.	Asceticism. *Loomis White Magic 111f.; *Encyc. Rel. Ethics Index 42b; Irish myth: *Cross; Spanish Exempla: Keller; Jewish: *Neuman; India: *Thompson-Balys.
D1733.3.	Magic power through ascetic practices.
F932.3.	Stream becomes hot in which saint performs his ascetic devotions.
Q520.	Penances.
T330.	Anchorites under temptation,
V462.0.1.	Kingship renounced to become an ascetic. Irish myth: Cross; India: Thompson-Balys.
V462.0.2.	Since salvation is predestined, asceticism deemed useless. Irish myth: Cross.
V462.0.3.	Husband abandons wife to become ascetic. India: Thompson- Balys.
V462.0.4.	Murderer becomes ascetic. India: Thompson-Balys.
V462.1.	Maintaining silence as ascetic practice. Alphabet Nos. 709, 711, 712, 725; Swiss: Jegerlehner Oberwallis 310 No. 32; Spanish Exempla: Keller.
V462.2.	Ascetic fasting. Alphabet Nos. 24, 145; Wesselski Mönchslatein 170 No. 135; Irish myth: *Cross; India: *Thompson-Balys.
C200.	Tabu: eating.
F1033.	Person lives without food or drink for a year (or more).
V462.2.1.	Ascetic faster increases his sufferings by placing food and drink before himself. Alphabet Nos. 22, 23; Scala Celi 4a No. 16; India: Thompson-Balys.
V462.2.2.	Person refuses to eat dainties. Irish myth: *Cross.   ## p. 475 (#479) ############################################  V. Religion 475
V462.2.2.1.	Saint refuses pearls as alms and asks for food. India: Thomp- son-Balys.
V462.2.3.	Death from ascetic devotions. India: Thompson-Balys.
V462.3.	Ascetic weeping. Irish myth: Cross.
V462.4.	Asceticism: allowing self no repose. Irish myth: *Cross.
V462.4.1.	Asceticism: cleric practices continual genuflexion. Irish myth: *Cross.
V462.4.2.	Cross vigil. Cleric stands with hands extended in shape of cross. Irish myth: *Cross.
V462.4.3.	Saint always extends one hand toward heaven while perform- ing such acts as eating or reaping. Irish myth: *Cross.
V462.5.	Ascetic cleric tortures his flesh. Irish myth: *Cross.
V462.5.0.1.	Ascetic cleric prays to become diseased. Irish myth: *Cross.
V462.5.1.	Ascetic cleric wears hair garment. Irish myth: *Cross.
V462.5.1.1.	Saint never wears woolen clothing, but skins of wolves and other beasts. Irish myth: *Cross.
V462.5.1.2.	Ascetic cleric sleeps (prays) with wet sheet (mantle) about him. Irish myth: *Cross.
V462.5.2.	Ascetic cleric sleeps on stone. Irish myth: *Cross.
V462.5.2.1.	Saint takes but little sleep. Irish myth: Cross.
V462.5.2.2.	Saint stands for seven years without sleep. Irish myth: Cross.
V462.6.	Ascetic cleric avoids listening to music. Irish myth: *Cross.
V462.7.	Ascetic cleric never smiles. Irish myth: Cross.
V462.8.	Ascetic immersion. Irish myth: *Cross.
V462.8.1.	Saint confines himself in narrow pen during Lent. Irish myth: Cross.
V462.8.2.	Saint stands (asleep) while bird builds nest and hatches brood in his hand. Irish myth: Cross.
V462.9.	Ascetic cleric leads mendicant life. Irish myth: Cross.
V462.10.	Ascetic cleric lives for seven years on whale's back. Irish myth: Cross.
B256.12.	Whale raises back so that voyaging clerics can land to celebrate Easter.
V462.11.	Ascetic cleric renounces world (to become a herder). Irish myth: *Cross.
V462.12.	Monk refuses chance of having temptation removed since he considers it strengthening to have it ever present to test him. Spanish Exempla: Keller.
V462.13.	Evil ascetic misuses magic powers obtained through religious meditation. India: Thompson-Balys.
V462.14.	Boy takes twelve years to wash off ascetic's dirt. India: Thomp- son-Balys.   ## p. 476 (#480) ############################################  476 Motif-Index of Folk-Literature
V463.	Religious martyrdom. Irish myth: *Cross; Icelandic: *Boberg; Jewish: *Neuman
S263.5.	Sacrificial suicide.
Z141.2.	Red as symbolic of martyrdom.
V463.1.	Cleric surrenders life that body may consecrate land. Irish myth: Cross.
V463.2.	First martyr: John the Baptist. Irish myth: Cross.
V464.	Self-torture to secure holiness. India: *Thompson-Balys:
V465.	Clerical vices.
J485.	Three sins of the hermit.
J1263.	Repartee concerning clerical abuses.
V465.1.	Incontinence of clergy. *Encyc. Rel. Ethics Index 113b, 136c; West Indies: Flowers 580.
J1264.	Repartee concerning clerical incontinence.
J1919.6.	Simpleton's ignorance of anatomy leads him to share his wife with a priest.
Q243.	Incontinence punished-miscellaneous.
Q414.0.3.1.	Burning monastery and monks in it as punishment for incontinence.
V465.1.1.	Incontinent monk (priest). Irish myth: *Cross; Italian Novella: Rotunda
E411.2.1.	Priest's concubine cannot rest in grave.
K1354.3.1.	Trickster (friar) undertakes to awaken girl.
V465.1.1.1.	Monk seduces girl; then kills her; becomes infidel. *Chauvin VIII 128 No. 118; Spanish Exempla: Keller.
V465.1.1.2.	Marriage of clerics. Irish myth: *Cross.
V465.1.2.	Incontinent nun. Irish myth: *Cross.
K1841.	The Virgin Mary substitutes for a mortal.
T401.	Virgin Mary as protectress of illicit lovers.
T640.1.	Illegitimate child of nun.
V254.5.	Nun forgets to hail Mary and goes into the world of sin.
V465.1.2.1.	Nun hidden by abbess from pursuing knight betrays her own hiding place to him. Is afterwards abandoned. *Pauli (ed. Bolte) No. 13; Crane Vitry 159 No. 58.
W136.1.	Look! look! she cries from the barrel.
V465.1.2.2.	Nun tempted into sinning with man who tells her God can't see things that happen in the dark. Spanish Exempla: Keller.
T331.4.	No place secret enough for fornication.
V466.	Simony. Italian Novella: Rotunda.
V466.1.	Pope guilty of simony. Italian Novella: Rotunda.
V467.	Priest uses cook-book instead of breviary. Italian Novella: Ro- tunda.
V468.	Priest is bribed into betraying the confessional. Italian Novella: Rotunda.
K443.8.	Priest induced to betray secrets of confessional: money then exacted from him for silence.
Q224.	Punishment for betraying con- fessional.
V470.	Clerical vows. *Encyc. Rel. Ethics Index 634a.
M100.	Vows and oaths.
V471.	Taking clerical vows heals disease. Alphabet No. 783.
V472.	Clerical vows because of disappointment in love.   ## p. 477 (#481) ############################################  V. Religion 477
V472.1.	Man becomes hermit when he realizes selfishness of his be- loved's love. (Cf.
T93.2.	) Heptameron No. 24.
V473.	Former monk refuses to take pay for his work, considering it as a religious act. India: Thompson-Balys.
V475.	Renunciation of clerical vows. Spanish Exempla: Keller.
K1841.1.	The nun who saw the world (Sister Beatrice).
Q226.	Punishment for leaving holy orders.
V265.	Virgin miraculously prevents nun from leaving convent.
V475.1.	Monk who has left order punished (dies in torment). Alphabet Nos. 73, 784.
V475.2.	Monk who has left his order forgiven and miraculously rein- stated. Alphabet No. 781.
V475.3.	Man who is disappointed with his religious order renounces his vow. Italian Novella: Rotunda.
V475.4.	Saint leaves his order because he is fond of music. India: Thompson-Balys.
V475.5.	Anchorite tempted by money to return to worldly life. Buddhist myth: Malalasekera II 807. V500-
V599.	Religious motifs-miscellaneous.
V510.	Religious visions. *Encyc. Rel. Ethics Index 632b; Irish myth: *Cross; Jewish: *Neuman.
D1731.2.	Marvels seen in dreams.
D1812.3.3.	Future revealed in dream.
V222.0.1.	Birth of saint predicted by visions of miracles.
V235.0.1.	Mortal visited by angel in vision.
V510.1.	God speaks in vision to devotee. India: *Thompson-Balys.
V510.2.	Only man without sin can see God. India: Thompson-Balys.
V511.	Visions of the other world.
V511.1.	Visions of heaven. **Becker Medieval Visions of Heaven and Hell (Baltimore, 1899); **Ward II 396ff. passim; Alphabet No. 622, 743; Dickson 265; Scala Celi 66a, 138b Nos. 362, 777. Irish: *Cross, O'Suilleabhain 57, Beal XXI 322; English: Malory Morte D'Arthur XV 3; Finnish-Swedish: Wessman 105 No. 932; Spanish Exempla: Keller; Jewish: *Neuman.
V511.1.1.	
A661.	Heaven,
A661.1.2.	Saint sees vision of three cities in heaven.
D1329.1.	Putting head under saint's cloak reveals rewards of heaven.
F10.	Journey to upper world.
F969.1.	Skies open revealing heavenly company. Saints have visions of heaven. *Toldo IV 49.
V511.1.2.	Vision of angels defending road to heaven against devils. Irish myth: Cross. -
V511.2.	Visions of hell. *Becker (see
V511.	1); Alphabet No. 610; Dickson 265; Herbert III 25; **Ward II 386ff.; *Crane Vitry 260f. No. 289; Scala Celi 34b, 74a, 85b Nos. 195, 422, 497. Irish myth: *Cross; Icelandic: *Boberg; Spanish Exempla: Keller.
A671.	Hell.
F80.	Journey to lower world. Vision of fires of hell. Irish myth: Cross.
V511.2.2.	Vision of gate of hell. Irish myth: Cross.
V511.2.1.	## p. 478 (#482) ############################################  478 Motif-Index of Folk-Literature
V511.2.3.	Girl sees vision of her mother in hell. She chooses to live the poor life of her father which leads to heaven. Spanish Exempla: Keller.
V511.3.	Visions of purgatory. *Dickson 265 n. 87; *Loomis White Magic 116; Irish myth: *Cross.
V511.4.	
A693.	Intermediate future world, Residence for those whose good and evil deeds exactly counterbalance. Visions of Land of the Saints. Irish myth: *Cross.
A661.0.10.	Land of the Saints surrounded by fiery circle.
V512.	Vision of judgment. Man sees his own soul being judged.
V512.1.	His faith into the balance. A clerk sees his good and evil deeds being weighed. He asks them to throw his faith in Christ (the Virgin) into the scale. He is saved. Ward II 651 No. 5; *Herbert III 471.
V512.2.	Man whose only good deed was unintentional sees this deed outweigh all his evil in the scales of judgment. Spanish Exempla: Keller.
V513.	Saints have miraculous visions. Irish myth: Cross.
V513.1.	Saint incited (instructed) through vision. Irish myth: *Cross.
V513.2.	Vision of the earth in the devil's snares. Saint sees earth in snares. Spanish Exempla: Keller.
V514.	Non-religious visions. Irish myth: *Cross; Jewish: *Neuman.
D1731.2.	Marvels seen in dreams.
D1812.5.1.2.1.	Vision as evil omen.
D1813.1.	Dream shows events in distant place.
V515.	Allegorical visions. Irish myth: *Cross.
D1812.3.3.5.	Prophetic dream allegorical.
Z100.	Symbolism.
V515.1.	Allegorical visions—religious.
V515.1.1.	Vision of chairs (thrones) in heaven. Chairs of gold, silver, crystal (glass) assigned to saints according to merit. (Cf.
A661.0.3.	) Irish myth: *Cross.
V515.1.2.	Wife sees moon enter mouth of husband; husband sees star enter mouth of wife: famous child (saint) will be born. Irish myth: Cross. .
V515.1.3.	Saint sees vision of flames covering Ireland quenched except for sparks; then great light appears, dispelling darkness. Flames are those of the faith brought by St. Patrick; they become less until restored by St. Columkill. Irish myth: Cross.
V515.1.3.1.	When shower falls, small stone becomes larger, large stone wastes away. Vision of present and future state of Irish church. Irish myth: Cross.
V515.1.3.2.	Vision in which swineherd sees yew tree upon a rock, with an oratory in front of it and angels ascending from it. Vision inter- preted by druid as symbolizing founding of Cashel and the royal line of Munster. Irish myth: *Cross.
V515.1.4.	Constantine's vision of the Cross. Irish myth: *Cross.
V515.1.5.	Vision of dry bones. Jewish: Neuman.
V515.2.	Allegorical visions-political. Irish myth: Cross.   ## p. 479 (#483) ############################################  V. Religion 479
V515.2.1.	Vision in which chieftain sees pair of gray seals that sucked at his two breasts. They are two of his allies who are being over- powered by invaders. Irish myth: Cross.
V515.2.1.1.	Vision in which king sees whelp reared by him gather dogs of Ireland and Britain against him but suffer death in battle at last. The whelp is one of king's two foster sons. Irish myth: Cross.
V515.2.2.	Vision in which saint foresees allegorically the ramifications of king's family Irish myth: Cross.
V515.2.3.	Vision in which king sees his four sons changed into lion, greyhound, beagle, cur, which fight with alternating success, until lion subdues the other three. Irish myth: *Cross.
V516.	Vision of future. Jewish: Neuman.
V520.	Salvation. *Encyc. Rel. Ethics Index 517b; Irish myth: Cross.
A661.	Heaven.
A671.	Hell.
A693.	Intermediate future world. Residence for those whose good and evil deeds exactly counterbalance.
A1002.	Doomsday.
C741.	Tabu: relieving souls in hell,
D859.2.	Quest to hell for magic object.
E411.	Dead cannot rest because of a sin.
E411.0.4.	Sinner wanders between heaven and earth.
E501.3.	Wild huntsmen wander be- cause of sin.
E750.	Perils of the soul.
E751.	Souls at Judgment Day.
E752.	Lost souls.
E754.	Saved souls.
E754.2.	Saved soul goes to heaven.
E755.1.	Souls in heaven.
E755.2.	Souls in hell (Hades).
E755.3.	Souls in purgatory.
E756.1.	Devils and angels contest for man's soul.
E757.	The soul prays.
F11.	Journey to heaven (upper world paradise).
F81.	Descent to lower world of dead (Hell, Hades).
H1261.	Quest: a crown from heaven.
H1262.	Quest: god to be brought from heaven.
H1270.	Quest to lower world.
K2371.	1, Heaven entered by a trick.
Q172.	Reward: admission to heaven.
Q545.	Murderer's penance complete when he kills a greater murderer.
V313.	Last judgment.
V522.	Sinner reformed after visit to heaven and hell. Irish myth: Cross.
V523.	The only king ever saved in spite of himself. Irish myth: Cross.
V525.	Sinner who thinks of God saved; devotee who thinks of worldly things goes to hell. India: Thompson-Balys.
V526.	Worship of particular deity brings reward of birth in Brahma- world. Buddhist myth: Malalasekera I 13.
V530.	Pilgrimages. Irish myth: Cross; India: *Thompson-Balys.
V531.	Pilgrimage to Holy Land. Irish myth: Cross.
V531.1.	Pilgrimage to follow roads Christ walked. Irish myth: Cross.
V532.	Pilgrimage to Mecca. India: Thompson-Balys.
V533.	Pilgrimage to Benares. India: Thompson-Balys.
V535.	Pilgrimage to Jerusalem. Jewish: *Neuman.
V540.	Intervention of Providence saves person's life. (Cf.
R341.	)
V541.	Man is prevented from taking passage on ship which later sinks. U.S.: Baughman.
V542.	Man hears voice telling him to leave danger spot in mine. U.S.: *Baughman.
