A1313.	Origin of sex-organs.
T61.5.1.	Betrothal of hero to princess while both are still in cradle. Scottish: Campbell-McKay No. 23; India: Thompson-Balys.
T61.5.2.	Children ten and twelve years old betroth themselves. Ice- landic: Boberg.   ## p. 343 (#347) ############################################  T. Sex 343
T61.5.3.	Unborn children promised in marriage to each other. Jewish: Neuman; India: Thompson-Balys; Buddhist myth: Malalasekera II 1097; Madagascar: Renel I 168ff. No. 30.
T62.	Princess to marry first man who asks for her. *Type 900; BP I 443ff.; *Philippson FFC L 21f.; *Chauvin V 234 No. 134 n. 1; India: *Thompson-Balys.
C664.	Injunction: to marry first woman met.
D1812.5.0.7.	Divination from first person (thing) met.
M138.1.	Vow to marry off two daughters to first two men father looks on the following morning.
N125.4.	Dis- tricts named from first person met in each.
N710.	Accidental meeting of hero and heroine.
Q499.7.	Humiliating marriage as punishment.
T456.	Bed-partner to receive payment from first man she meets in the morning. It so happens: she marries the man and he makes her wealthy.
T62.1.	Man to marry first woman who gives him alms. India: Thomp- son-Balys.
T62.2.	Minister's daughter to marry first bachelor who arrives. Korean: Zong in-Sob 112 No. 58.
T63.	Princess's husband selected by elephant bowing to him. (Cf.
H171.1.	) India: Thompson-Balys.
T64.	King seeks bride only because counsellors insist. *Thien Motive 4; Chaucer's Clerk's Tale; Irish myth: *Cross; Icelandic: *Boberg.
H1381.3.1.1.	Quest for bride for king.
T65.	Betrothal restrictions.
T65.1.	Maiden will not give her troth to two brothers successively. English: Child V 487 s.v. "Maid".
T65.1.1.	Girl formally betrothed can never marry another should any- thing happen to prevent her from marrying the first. India: Thomp- son-Balys.
T65.2.	Mercenary soldier (exile) unsuitable as husband. Irish myth: *Cross.
T66.	Help in wooing. (Cf.
B582.	)
T66.1.	Grateful dead man helps hero win princess. *Type 506; India: Thompson-Balys. See references for E341 (the grateful dead).
T66.2.	Grateful little boys help hero win girl. Chinese: Graham.
T67.	Prince offered as prize.
T67.1.	Marriage to prince as reward for disenchanting him. (Cf.
L162.	) Italian: Basile Pentamerone Int.
T67.2.	Marriage to prince as reward for curing him. Italian: Basile Pentamerone II Nos. 2, 5; India: Thompson-Balys.
Q94.	Reward for cure.
T32.	Lovers' meeting: heroine heals hero's wounds.
T67.3.	Prince will marry girl who will rescue him from embarrassing position. Italian: Basile Pentamerone V No. 1.
T67.3.1.	King marries girl who frees him from the clutches of magic doll. (Cf.
D1268.	) Italian Novella: *Rotunda.
T68.	Princess offered as prize. Irish myth: Cross; Icelandic: *Boberg;   ## p. 344 (#348) ############################################  344 Motif-Index of Folk-Literature Missouri French: Càrrière; Spanish: Espinosa Jr. Nos. 130f.; Jewish: *Neuman; India: *Thompson-Balys.
B620.1.	Daughter promised to animal suitor.
H331.	Suitor contests: bride offered as prize.
H335.	Tasks assigned suitors. Bride as prize for accomplishment.
H316.	Princess given to man who can heal her.
H507.1.	Princess offered to man who can defeat her in repartee.
H508.2.	Bride offered to man who can find answer to question.
H511.	Princess offered to correct guesser.
H551.	Princess offered to man who can out-riddle her.
N2.6.2.	Daughter as wager.
Q53.	Reward for rescue.
Q91.1.	Princess given in marriage to clever thief.
Q112.	Half of kingdom as reward.
S221.1.	Bankrupt father sells his daughters in marriage to animals.
T68.1.	Princess offered as prize to rescuer. *Types 300, 301, 302, 303, 304, 506, 653; *Hartland Perseus III 1-65; *MacCulloch Childhood 17f.; Irish myth: Cross; Italian: Basile Pentamerone I No. 7; India: *Thompson-Balys; Chinese: Werner 420; Africa (Angola): Chatelain 89 No. 5.
B11.11.	Dragon fight.
H335.	Tasks assigned suitors.
Q53.3.	Maiden queen offers her hand as reward for rescuing her town.
R111.1.	Prin- cess rescued from captor.
T68.2.	Earl's daughter as reward to knight who helped to kill fierce buffalo. Icelandic: Boberg.
T68.3.	Princess as prize to man who saves his country. Chinese: Graham.
T68.4.	Vanquished king gives hero his daughter and control over his kingdom. India: Thompson-Balys.
T68.5.	Girl marries hunter when he promises to return to monkey brothers their human form (Cf.
D118.	) India: Thompson-Balys.
T69.	Wooing-miscellaneous motifs.
T69.1.	100 brothers seek 100 sisters as wives. (Seven-seven, fifty-fifty, etc.) Type 303*; Rumanian: Schullerus FFC LXXVIII No. 303*; Greek: Aeschylus Prometheus Bound 853.
T69.1.1.	Three brothers married to three sisters. Icelandic: *Boberg.
T69.1.2.	Seven princesses sought by seven princes. India: *Thompson- Balys.
T69.2.	Parents affiance children without their knowledge. Type 516; Rösch FFC LXXVII 101; Jewish: *Neuman; India: Thompson-Balys.
T69.2.1.	Parents wooing one of seven daughters for their son. Chinese: Graham.
T69.2.2.	Parents decide princess can marry no one who weighs more than she. India: Thompson-Balys.
T69.3.	Man gives daughter in return for his release. (Cf.
S222.	) Irish myth: Cross.
T69.3.1.	Raja betroths his daughter to visitor's son as a compensation for murder. India: Thompson-Balys.
T69.4.	Bashful suitor directs his wooing to an oak. Icelandic: Boberg.
H13.2.	Recognition by overheard conversation with objects.
T69.5.	Father punishes daughter by giving her to poor man in marriage. Chinese: Graham.   ## p. 345 (#349) ############################################  T. Sex 345
T70.	The scorned lover. Chinese: Graham.
K401.3.	Stolen goods left in suitor's room. Impoverished lover falsely accused in order to be rid of him. K1210, Humiliated or baffled lovers.
S110.3.	Princess builds tower of skulls of unsuccessful suitors.
T71.	Women scorned in love. *Dickson 87ff. nn. 50, 55; Penzer II 109, 120ff., III 109f., IV 91, 104ff., V 259 n. 1; Irish myth: *Cross; Ice- landic: *Boberg; Jewish: Neuman; India: Thompson-Balys. on
C31.	Tabu: offending supernatural wife.
F302.3.3.1.	Fairy avenges herself inconstant lover (husband).
F361.	Fairy's revenge.
K2111.	Poti- phar's wife.
T331.	Man unsuccessfully tempted by woman.
W34.1.	Man constrained to elope with leader's fiancée resists her blandish- ments.
T71.1.	Accidental death fate of woman scorned in love. Irish myth: *Cross.
T71.2.	Woman avenges scorned love. Icelandic: *Boberg; Babylonian: Gilgamesch-Epos VI 6ff.
T71.2.1.	Woman scorned in love complains of man's coldness. Irish myth: *Cross.
T72.	Woman won and then scorned. Irish myth: *Cross; Italian Novella: *Rotunda; India: Thompson-Balys.
K1353.	Woman deceived into sacrificing honor.
Q245.	Punishment for refusal to marry after girl is pregnant.
R111.6.	Girl rescued and then abandoned.
T72.1.	Maid eloping with pretended lover is forced by him to strip. Child V 487 s.v. "Maid”.
K1645.	Woman ordered to strip has lover turn his back: pushes him into water.
Q411.1.	Punishment: winning as wife and then killing.
T72.2.	Nobleman marries poor girl and then abandons her. Italian No- vella: Rotunda.
T72.2.1.	Prince marries scornful girl and punishes her. India: *Thomp- son-Balys.
T72.3.	Woman sets out to kill man who has won and then scorned her. Ruler brings about their reconciliation. Italian Novella: *Rotunda.
T72.4.	Woman entertains two lovers on alternate nights. They expose the deception and scorn her in public. Cent Nouvelles Nouvelles No. 33; Italian Novella: *Rotunda.
T75.	Man scorned by his beloved. Icelandic: *Boberg; Italian Novella: Rotunda; India: *Thompson-Balys; Africa (Ekoi): Talbot 357.
T311.	Woman averse to marriage.
T75.0.1.	
T75.0.2.	Suitors ill-treated. Icelandic: *Boberg. Mortal woman rejects deity for human lover. India: Thomp- son-Balys.
T75.1.	Scorn of unloved suitor punished. Types 402*, 906*; Icelandic: Boberg.
T75.2.	Scorned lover kills successful one. Italian Novella: *Rotunda.
T75.2.1.	Rejected suitors' revenge. Icelandic: *Boberg.
R18.	Abduction by rejected suitor.
T104.1.	Rejected suitor wages war.
T75.3.	Unrequited love expressed in song (poem). English romance: Malory X 86; Spanish: Childers.   ## p. 346 (#350) ############################################  346 Motif-Index of Folk-Literature
T75.4.	Lady humiliates lover after he leaves wife for her. Chinese: Graham.
T75.5.	
T75.6.	Scorned lover becomes an anchorite. (Cf.
T330.	) Divine hand catches scorned lover as he plunges from minaret top to die. India: Thompson-Balys.
T76.	Princess calls her suitors ugly names. *Type 900; *BP I 443ff.; *Philippson FFC L 14; Italian: Basile Pentamerone IV No. 10.
T77.	Maid vexes suitor by pretense. Noble maid who is to marry knight pretends to be beggar's daughter. Child V 487 s.v. "Maid”.
T80.	Tragic love. Italian Novella: Rotunda; Jewish: Neuman; India: Thompson-Balys.
A968.2.	Cliff from lovers' leap.
E419.6.	Lovers buried apart found in one grave each morning.
F1841.1.1.4.	Hearts break when lovers are told beloved is dead.
K1087.1.	Message falsified to bring about death of lovers.
N339.4.	Groom killed by bolt of lightning on wedding night.
N343.	Lover kills self believing his mistress dead.
N345.	The falcon of Sir Federigo.
P214.	Wife drinks blood of slain husband.
T81.	Death from love. *Penzer II 8, 9 n. 2, 10, V 39, VII 69 n. 1, 103, 258, VIII 98; Irish myth: *Cross; Jewish: *Neuman; India: *Thomp- son-Balys; Chinese: Eberhard FFC CXX 69, 209 No. 157.
A773.3.	Pleiades girls who died of grief.
F1041.1.1.	Death from broken heart.
T24.1.	Love sickness.
T211.	Faithfulness in marriage to death.
T81.1.	Man dies at bedside of dying sweetheart. Italian Novella: Ro- tunda.
T81.2.	Death from unrequited love. Virgil Aeneid IV 505ff. (Dido); Italian Novella: *Rotunda.
T81.2.1.	Scorned lover kills self. India: *Thompson-Balys.
T81.2.1.1.	Scorned lover (woman) threatens to kill self. India: *Thomp- son-Balys.
T81.3.	Girl falls dead on lover's body. Italian Novella: *Rotunda.
T81.4.	Man dies when the bride who had been denied him kisses him. Italian Novella: Rotunda.
T81.5.	Sick lover dies from exertion of embracing beloved. Heptameron No. 50.
F1041.1.5.	Death from excessive joy.
J2572.	Heart may not be able to stand winning mistress.
T81.6.	Girl kills herself after lover's death. Herrmann Saxo II 94; Ice- landic: *Boberg; India: *Thompson-Balys.
T81.7.	Woman dies on hearing of lover's or husband's death. (Cf.
T211.9.1.	) Icelandic: *Boberg.
T81.8.	Wife swallows hot coal and dies because her husband is unfaith- ful. Spanish Exempla: Keller.
T82.	Bath of blood of beloved to cure love-sick empress. Herbert III 212; Oesterley No. 281; Wesselski Mönchslatein 60 No. 50.
D1500.1.7.3.	Magic healing blood.
Q478.1.	The Eaten Heart. Adulteress is caused unwittingly to eat her lover's heart.
T24.1.	Love-sickness.
T83.	Hero and Leander. Lover drowned as he swims to see his mistress. *Von der Hagen I cxxviii; *Fb "svömme" III 695b; Italian Novella: Rotunda; Greek: Fox 202.   ## p. 347 (#351) ############################################  T. Sex 347
T83.1.	Girl drowns as she swims to see her lover. Her brothers deceive her with false signal light. Italian Novella: *Rotunda.
T84.	Lovers treacherously separated. Irish myth: Cross.
T85.	Woman mourns dead lover.
T85.1.	Woman thinking lover dead erects cenotaph and mourns before it. Chauvin V 153 No. 75 n. 1.
T85.2.	Princess hangs up weapons of dead lover as continual reminder. *Wesselski Mönchslatein 80 No. 69.
T85.3.	The Pot of Basil. Mistress keeps murdered lover's skull in flower-pot. *Belden PMLA XXXIII 327ff.; Boccaccio Decameron IV No. 5 (Lee 136); Italian Novella: Rotunda.
T85.4.	Lover's body kept embalmed for years by grieving mistress. (Cf.
T211.4.	) *Hibbard 266.
T85.4.1.	Ring of Fastrada. (Tove's magic ring.) Lover keeps body of dead mistress (wife) intact by means of magic ring. When ring is removed from her finger, the body immediately decays and he is cured of his love. **A. Pauls Der Ring der Fastrada (Aachen, 1896); **K. Nyrop Fortids Sagn og Sange 1: Tove's Tryllering (Køben- havn, 1907); *Chauvin II 202 No. 48; *Moth Danske Studier (1915) 97ff.; *BP I 463f.; *G. Paris Journal des Savants Nov. 1896; Eupho- rion VI 186.
D1076.	Magic ring.
D1585.	Magic object saves corpse from corruption.
T211.4.1.	Wife's corpse kept after death.
T334.	Monk cures himself of desire for dead sweetheart. He digs up her remains.
T86.	Lovers buried in same grave. *Chauvin V 107 No. 37; Heptameron Nos. 50, 70; Boccaccio Decameron IV No. 8 (Lee 140); Irish myth: Cross; Icelandic: *Boberg; Italian Novella: *Rotunda; India: *Thomp- son-Balys.
E631.0.1.	Twining branches grow from graves of lovers.
T86.1.	Rival suitors kill each other over woman's love. Woman dies of broken heart and all three are buried in the same grave. Italian Novella: Rotunda.
T86.2.	Lovers die at the same time. Icelandic: FSS 267, Boberg.
T86.3.	Mistress springs into dead lover's grave. Irish myth: *Cross.
T86.4.	Girl and boy promised to each other by parents both die when they see each other after girl's marriage to another. India: Thomp- son-Balys.
T87.	Lovers forbidden to marry starve themselves to death. Italian Novella: Rotunda.
T88.	Woman stricken by plague and forsaken by her husband is sought out by unsuccessful lover and dies in his arms. Italian Novella: Rotunda.
T88.1.	Love kept up even after one of the parties is married to another. Icelandic: Boberg.
T89.	Tragic love-miscellaneous motifs.
T89.1.	Woman falls in love with dying warrior. Irish myth: Cross.   ## p. 348 (#352) ############################################  348 Motif-Index of Folk-Literature
T89.1.1.	Princess married to mortally wounded prince and both left in jungle. India: Thompson-Balys.
T89.2.	Woman sacrifices herself in order to save beloved. India: Thomp- son-Balys.
T90.	Love-miscellaneous motifs.
T91.	Unequals in love. Irish myth: Cross; India: Thompson-Balys.
T91.1.	
B610.	Animal paramour.
B620.	Animal suitor.
J414.	Marriage with equal or with unequal.
T110.	Unusual marriage.
T121.	Unequal marriage. Giant's daughter loves hero. See references to
G530.2.	Icelandic: De la Saussaye 337, *Boberg; Irish myth: *Cross; India: *Thompson- Balys.
T91.1.1.	
G530.2.	Help from ogre's daughter.
N812.4.	Giantess helps the man she loves. Giant's daughter has child by hero. Icelandic: *Boberg.
T91.2.	Love of mortal and devil.
T91.2.1.	Devil would be maid's paramour. (Cf.
G303.9.4.7.	) Child V 283; Lithuanian: Balys Index No. 368*f., 3265.
T91.3.	Love of mortal and supernatural person. India: *Thompson-Ba- lys; S. A. Indian (Cashinawa): Métraux BBAE CXLIII (3) 684, (Toba): Métraux MAFLS XL 23.
T91.3.1.	Supernatural lover performs girl's work. Jamaica: Beckwith MAFLS XVII 267 No. 78.
T91.3.2.	Love of goddess for mortal. (Cf.
T111.1.	) Penzer V 33; Greek: Fox 245.
T91.3.3.	God enamored of mortal. (Cf.
A188.	) Greek: Grote I 85f., 139, 164; India: *Thompson-Balys.
T91.3.3.1.	God falls in love with a woman of low caste. India: Thomp- son-Balys.
T91.4.	Age and youth in love.
T91.4.1.	
J21.3.	"Do not go where an old man has a young wife": counsel proved wise by experience.
J445.2.	Foolish marriage of old man and young girl. Mature married woman in love with callow youth. Malone PMLA XLIII 418.
J445.1.	Foolish youth in love with ugly old mistress.
T91.4.1.1.	Old teacher wishes to marry his young girl pupil. India: Thompson-Balys; Buddhist myth: Malalasekera II 860.
T91.5.	Rich and poor in love.
T91.5.1.	Rich girl in love with poor boy. Spanish: Boggs FFC XC 54 No. 405A*; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 247 No. 192.
M312.1.	Prophecy: wealthy marriage for poor boy.
T91.5.1.1.	Daughter of merchant develops intimacy with slave. Buddhist myth: Malalasekera I 897.
T91.6.	Noble and lowly in love.   ## p. 349 (#353) ############################################  T. Sex 349
T91.6.1.	Lowly person falls in love with king (queen). Italian Novella: Rotunda.
