ref_term,usage_count,category,subcategory,confidence,toponym,explanation,coordinates,notes
Armenian,133,geographic,country,0.9,Armenia,"Refers to people, culture, and language associated with Armenia, a country in the South Caucasus region. Armenian identity combines geographic, ethnic, linguistic and religious (Armenian Apostolic Church) elements with a history dating back over 2500 years.","[40.0691, 45.0382]",
Faeroese,133,geographic,nationality,0.95,Faroe Islands,"Relating to the people, language, or culture of the Faroe Islands, a self-governing territory of Denmark located between Scotland and Iceland in the North Atlantic Ocean","[62.0, -6.8]",
Ossetian,131,ethnic_tribal,caucasian_ethnic_group,0.95,North Ossetia-Alania,"Refers to the Ossetian people, an ethnic group living mainly in North Ossetia-Alania (Russia) and South Ossetia (de facto independent state/Georgia). They are descendants of medieval Alans, an Iranian-speaking nomadic group. The term encompasses both their ethnic identity and distinct language.","[43.0, 44.6]",
Albanian,130,geographic,country,0.95,Albania,"Refers to people, culture, and language associated with Albania, a country in southeastern Europe. The term can refer both to citizens of Albania and ethnic Albanians who have historically also lived in neighboring regions like Kosovo and North Macedonia.","[41.1533, 20.1683]",
Basque,127,ethnic_tribal,indigenous_european_group,0.95,Basque Country,"Distinct ethnic group and culture indigenous to the region spanning northeastern Spain and southwestern France, with unique language and cultural traditions. The Basque people are considered one of Europe's oldest distinct ethnic groups with a language unrelated to Indo-European languages.","[43.0, -2.5]",
East African,126,geographic,region,0.9,East Africa,"Refers to the eastern region of Africa, typically including countries like Kenya, Tanzania, Uganda, Rwanda, Burundi and sometimes Ethiopia, Somalia, South Sudan. The term encompasses shared cultural and historical ties among these nations.","[-1.2921, 36.8219]",
Maori,126,ethnic_tribal,indigenous_group,0.95,New Zealand,"Indigenous Polynesian people of mainland New Zealand (Aotearoa), with distinct language, culture and traditions. First settled in New Zealand from East Polynesia in the 13th-14th centuries.","[-41.2, 174.9]",
Russia,126,geographic,country,1.0,Russia,"The largest country in the world by land area, historically known as Rus and later the Russian Empire and Soviet Union. A major source of Slavic and other folklore traditions across Northern Eurasia.","[55.7558, 37.6173]",
Korean,119,geographic,country,0.95,Korea,"Refers to people, language and culture originating from the Korean peninsula, historically encompassing both modern North and South Korea. In folklore contexts, usually refers to traditions predating the peninsula's division.","[37.5, 127.0]",
Uzbek,119,geographic,country,0.9,Uzbekistan,"Refers to the people, culture, and language of Uzbekistan, a Central Asian nation. The Uzbeks are a Turkic ethnic group native to this region with a distinct cultural and linguistic heritage influenced by Persian and Turkic traditions.","[41.3775, 64.5853]",
Burmese,117,geographic,country,0.9,Myanmar,"Refers to people, culture, and language of Myanmar (formerly Burma), a country in Southeast Asia. The term encompasses both the dominant ethnic group (Bamar) and the broader national identity.","[21.9162, 95.956]",
North Carolina,117,geographic,us_state,1.0,North Carolina,"One of the original 13 United States colonies and current U.S. state located on the Atlantic coast, known for its diverse geography from the Appalachian Mountains to the Outer Banks coastline","[35.5, -80.0]",
Chuvash,115,ethnic_tribal,turkic_people,0.95,Chuvashia,"The Chuvash are a Turkic ethnic group native to the Chuvash Republic (Chuvashia) in Russia. They have their own distinct language and cultural traditions, being one of the largest indigenous minorities in Russia.","[56.1322, 47.2519]",
Tatar,114,ethnic_tribal,turkic_people,0.95,Tatarstan,"The Tatars are a Turkic ethnic group native to the Volga-Ural region. Historically associated with the Mongol Empire and Golden Horde, they now primarily live in Tatarstan (Russia) and nearby regions. Their language belongs to the Turkic family and they traditionally practice Islam.","[55.8304, 49.0661]",
Lebanese,113,geographic,country,0.95,Lebanon,"Refers to people, culture and traditions from Lebanon, a country in Western Asia along the Mediterranean coast. The term encompasses both ethnic and national identity of people from this region.","[33.8547, 35.8623]",
Yemenite,113,geographic,country,0.9,Yemen,"Refers to people, culture, or traditions originating from Yemen, a country in the southern Arabian Peninsula. Often specifically refers to Yemeni Jews and their distinct cultural traditions in folklore contexts.","[15.552727, 48.516388]",
Philippines (Tinguian),112,ethnic_tribal,indigenous_group,0.9,Abra Province,"The Tinguian (also known as Itneg) are an indigenous ethnic group primarily located in Abra Province in northern Luzon, Philippines. They are known for their rich folklore and traditional practices.","[17.5697, 120.9147]",
Wotian,109,linguistic,language_group,0.7,Estonia,"Wotian likely refers to the Votes (also called Votians), a Finnic people historically inhabiting parts of what is now northwestern Russia and Estonia. They spoke the Vote language, which belongs to the Finnic branch of Uralic languages.","[59.0, 26.0]",
Marquesas,107,geographic,island_group,0.95,Marquesas Islands,The Marquesas Islands are a group of volcanic islands in French Polynesia in the southern Pacific Ocean. They have a distinct cultural heritage and were historically home to indigenous Polynesian peoples with rich folklore traditions.,"[-9.75, -139.0]",
Votyak,107,linguistic,indigenous_language,0.9,Udmurt Republic,"Votyak is an older term for the Udmurt people and their Finno-Ugric language, spoken primarily in the Udmurt Republic of Russia. The Udmurts are a Finno-Ugric ethnic group native to the region.","[57.0, 53.0]",
Namibian,102,geographic,country,1.0,Namibia,"Relating to or originating from Namibia, a country in southern Africa that gained independence in 1990. Previously known as South West Africa, the country has diverse ethnic groups including Ovambo, Herero, Damara, and Nama peoples.","[-22.9576, 18.4904]",
Persia,102,geographic,historical_region,0.9,Iran,"Historical name for the region and empire centered in modern-day Iran, which at various points encompassed parts of Central Asia, the Middle East, and North Africa. The term was officially used until 1935 when the country adopted 'Iran' as its official name.","[32.4279, 53.688]",
Jordanian,99,geographic,country,0.95,Jordan,"Refers to people, culture, or items originating from the Hashemite Kingdom of Jordan, a country in Western Asia bordering Israel, Syria, Iraq and Saudi Arabia","[31.9, 35.9]",
Africa (Basuto),98,ethnic_tribal,indigenous_group,0.9,Lesotho,"Refers to the Basuto (also known as Basotho) people, the primary ethnic group of modern-day Lesotho and parts of South Africa. They speak Sesotho and have historically inhabited the region that became Lesotho.","[-29.6, 28.3]",
So. Am. Indian (Chiriguano),98,ethnic_tribal,indigenous_group,0.9,Gran Chaco,"The Chiriguano (also known as Guaraní-Chiriguano or Ava Guaraní) are an indigenous people of South America, primarily located in the Gran Chaco region spanning parts of Bolivia, Paraguay and Argentina. They are a subgroup of the larger Guaraní people who historically inhabited this region.","[-21.0, -63.0]",
Africa (Kaffir),88,ethnic_tribal,historical_ethnic_term,0.9,Eastern Cape,"'Kaffir' is a now-offensive historical term used by European colonists to refer to Black African peoples, particularly Xhosa and other Nguni-speaking peoples in what is now South Africa. The term is considered a racial slur and its use is prohibited in South Africa. In folklore collections, it typically refers to stories from Xhosa and related peoples of the Eastern Cape region.","[-32.2968, 26.4194]",
No. Am. Indian (California),88,ethnic_tribal,indigenous_group,0.9,California,"Refers to indigenous peoples native to the U.S. state of California, including groups like the Chumash, Miwok, Yokuts, and other tribes historically residing within California's current borders","[36.7783, -119.4179]",
Tahiti,88,geographic,island,1.0,Tahiti,"Tahiti is the largest island in French Polynesia, located in the South Pacific Ocean. It is the economic, cultural and political center of French Polynesia, famous for its black sand beaches, lagoons, waterfalls and volcanic mountains.","[-17.6797, -149.4068]",
