rownum	motif_id	motif_text_with_references
354	A1135.3	Origin of frost. Associated with the tribe So. Am. Indian (Toba)
355	A1135.4	Origin of hail. Associated with the tribe So. Am. Indian (Aymara)
356	A1137	Causes of hot weather: God bores hole in hell. Referenced in Jewish religious texts
357	A114	Gods born from object.
358	A114.1	Deity born from sea-foam. Aphrodite. Linked to Greece
359	A114.1.1	Goddess born from sweat of rock washed by sea. From the region of Minahassa (Celebes)
360	A114.1.1.1	God born of another god's sweat. Linked to India
361	A114.1.1.2	Origin of lesser gods from spittle of great god. Found in Hawaii
362	A114.2	God born from egg. Associated with the tribe So. Am. Indian (Huamachuco)
363	A114.2.1	Deity born in shape of egg. Found in Hawaii
364	A114.3	Deity born from skull. Located in Easter Island
365	A114.4	Deity born from tree. Associated with the tribe So. Am. Indian (Tembé)
366	A1141	Origin of lightning. Linked to Eskimo (Cape York), Associated with the tribe Africa (San)
367	A1141.1	Lightning as fiery snake. Linked to Finland
368	A1141.2	Lightning from flashing sword. Linked to India
369	A1141.3	Lightning from heavenly horses striking hoofs against stars. Linked to India
370	A1141.4	Lightning as god's whip. Referenced in Jewish religious texts
371	A1141.5	Lightning as God's messenger. Referenced in Jewish religious texts
372	A1141.6	Lightning produced by deity. Linked to Maori, Linked to Greece, Referenced in Jewish religious texts
373	A1141.7	Lightning from fire. Associated with the tribe So. Am. Indian (Ashluslay), Associated with the tribe So. Am. Indian (Lengua), Associated with the tribe So. Am. Indian (Chorotn)
374	A1141.7.1	Lightning as torches of invisible dancers. Associated with the tribe Africa (Fang)
375	A1141.8	Origin of lightning other motifs. Associated with the tribe So. Am. Indian (Mataco), Associated with the tribe So. Am. Indian (Chamacoco), Associated with the tribe So. Am. Indian (Toba)
376	A1142	Origin of thunder. Associated with the tribe Am. Indian (Cashinawa), Associated with the tribe So. Am. Indian (Cashinawa), Linked to Angola, Associated with the tribe Indian (Cashinawa), Linked to Eskimo (Cumberland Sound)
377	A1142.0.1	Origin of thunderbolt. Linked to India
378	A1142.1	Creator's (deity's) voice makes thunder. Linked to China, Referenced in Jewish religious texts
379	A1142.2	Thunder from flying dragon. From the region of Siberia
380	A1142.3	Persons escape to sky and become thunder. Associated with the tribe So. Am. Indian (Chiriguano)
381	A1142.4	Origin of thunder clouds: from wings of mountains. Linked to India
382	A1142.5	Thunder is sound of God's gun. Linked to India
383	A1142.5.1	Thunder caused by God beating his weapon. Linked to India
384	A1142.5.1.1	Thunder from crashing of stones in moon as goddess beats tapa. Linked to Samoa
385	A1142.5.1.2	Thunder from thunder-spirit beating his children. Associated with the tribe Am. Indian (Cashinawa), Associated with the tribe Indian (Cashinawa), Associated with the tribe So. Am. Indian (Cashinawa)
386	A1142.6	Cause of thunder: sounds of the horses' hoofs as gods play ball. Linked to India
387	A1142.6.1	Thunder from clashing weapons of warring spirits in sky. Associated with the tribe So. Am. Indian (Chamacoco)
388	A1142.7	Thunder from deity separating the winds which try to unite. Linked to India
389	A1142.8	Thunder is noise of waterskin which rain-god drags along sky floor. Linked to India
390	A1142.9	Thunder made by giants in sky. Linked to Greece
391	A1142.9.1	Thunder the drums of dead. Associated with the tribe Africa (Fang)
392	A1145	Cause of earthquakes. Linked to India
393	A1145.1	Earthquakes from movements of subterranean monster. Associated with the tribe So. Am. Indian (Chibcha)
394	A1145.2	Earthquakes from movements of sea-monster. Linked to Ireland
395	A1147	Origin of stormy sky.
396	A1147.1	Origin of red sky (blood). Located in Tahiti, Linked to Kaska
397	A1148	Origin of tornado sunsets; i.e., peculiar sunsets foreboding tornadoes. Linked to Ekoi
398	A115	Emergence of deity.
399	A115.1	First deity grows out of primeval chaos. Linked to Japan
400	A115.2	God issues from earth. Linked to the ethnicity Norse
401	A115.3	Deity arises from mist. Found in Hawaii
402	A115.4	Deity emerges from darkness of underworld. Mangia (Cook Is.)
403	A115.5	Emergence of gods from above and below. Located in Marquesas
404	A115.6	Deity arises from shell of darkness where he has been for million ages. Located in Tahiti
405	A115.7	Gods emerge from hole in tree. Linked to India
406	A1150	Determination of seasons. Linked to India, Linked to No. Am. Indian, Linked to Greece
407	A1150.1	Establishment of times for sowing and reaping. Linked to India
408	A1151	Theft of the seasons. Certain seasons are lacking. A culture hero steals the season from a monster and brings it to his people. Linked to India, Linked to No. Am. Indian
409	A1152	Boneless man turned over to produce seasons. Linked to India, Linked to No. Am. Indian
410	A1153	Seasons produced by marriage of North and South. Linked to No. Am. Indian, Linked to India
411	A1154	Genealogy of summer and winter. Linked to Iceland
412	A1155	Why days lengthen in spring. In languages spoken in Flemish
413	A1156	Why days shorten in autumn: the real sun sets very early because the red cockscomb plant, used to kill his brother sun with, grows to its full height during this time. Linked to India
414	A1157	Causes of seasons deities push sun back and forth at solstices. Found in Hawaii
415	A116	Twin gods. Linked to Ireland, Linked to Germany, Spanning multiple countries: Germanic, Linked to Greece, Referenced in Hindu religious texts, Linked to Armenia
416	A116.1	Twin gods one mortal, other immortal.
417	A116.2	Twin goddesses (or trinity of goddesses). Linked to Ireland
418	A116.2.1	Twin daughters of a god. Linked to India
419	A1160	Determination of the months. Associated with the tribe Ojibwa, Referenced in Jewish religious texts
420	A1161	February's shortage of days. Days stolen by January and March.
421	A117	Mortals become gods.
422	A117.1	First men created with eternal life become gods. Linked to India
423	A117.2	Mortal translated to heaven and deified. Linked to Maori, Linked to India
424	A117.3	In extreme old age spirits become gods. Found in Hawaii
425	A117.4	Mortal transfigured to god on mountain top. Linked to Maori
426	A117.5	Gods are spirits of deified dead. Located in Easter Island
427	A1170	Origin of night and day. Linked to India
428	A1171	Origin of day.
429	A1171.1	Opening of creator's eyes creates day. Linked to China
430	A1171.2	Windows in firmament shed light. Linked to Ireland
431	A1171.3	Angels of the day:  Jewish: Neuman.
432	A1171.4	Origin of day: son of the night and the dawn. Linked to Iceland
433	A1172	Determination of night and day. After much discussion, the relative length of these divisions is determined. Associated with the tribe So. Am. Indian (Cashinawa), Associated with the tribe Africa (Fang), Associated with the tribe Am. Indian (Cashinawa), Associated with the tribe Africa (Fang), Associated with the tribe Indian (Cashinawa)
434	A1172.1	Regulation of sunshine. Linked to India
435	A1172.2	Wallet containing night and day.
436	A1172.3	Night and day have steeds and chase each other. Linked to Iceland
437	A1174	Origin of night. Linked to Tahlti, Linked to India
438	A1174.1	Night (darkness) in package. Released. Linked to Munderuc'
439	A1174.2	Why some nights are dark and some light. Linked to India
440	A1174.3	Purchase of night. Originally no night. Culture hero goes to distant land and buys it. He introduces sleep, etc. Cock to crow for day. Located in Banks Islands
441	A1174.3.1	Night stolen and kept in jar. Associated with the tribe Indian (Cashinawa), Associated with the tribe So. Am. Indian (Cashinawa), Associated with the tribe Am. Indian (Cashinawa)
442	A1174.4	Night caused by deity wrapping himself in dark mantle. Linked to Maori
443	A1177	Why sun shines on Saturday (Friday). Referenced in Jewish religious texts, In languages spoken in Flemish
444	A1178	"Origin of ""yesterday"" and ""today.""" Linked to India
445	A1179	Origin of night and day miscellaneous.
446	A1179.1	Origin of twilight.
447	A1179.1.1	Twilight reflection of fires of hell. Referenced in Jewish religious texts
448	A1179.2	Origin of dawn.
449	A1179.2.1	Dawn reflection of roses of paradise. Referenced in Jewish religious texts
450	A118	Self-created deity. Located in Tahiti
451	A1180	Establishment of present order miscellaneous motifs.
452	A1181	Determination of world center. By reaching to its ends. Linked to India, Linked to No. Am. Indian
453	A1182	Determination of world quarters. The four cardinal points. Associated with the tribe Yuma
454	A1185	Wings cut from flying mountains. In beginning mountains have wings. They are cut off by thunderbolt. Referenced in Hindu religious texts, Linked to India
455	A1186	Measuring the world. Linked to India
456	A1187	Creator appoints a chief for each class of created things: Lucifer for demons, Sion for mountains, etc. Linked to Ireland, Referenced in Jewish religious texts
457	A119	Origin of gods miscellaneous.
458	A119.1	God made by magic. Associated with the tribe So. Am. Indian (Apapocuva), Associated with the tribe Am. Indian (Apapocuva)
459	A119.2	Goddess produced by heat of earth. Located in Tahiti
460	A119.3	Arrival of the gods in particular country. Found in Hawaii, Located in Tonga
461	A1191	All things receive names. Referenced in Jewish religious texts, Linked to China
462	A1195	Origin of echo. Linked to Eskimo (Cumberland Sound)
463	A1196	Why salt disappeared from forests. Associated with the tribe So. Am. Indian (Yuracaré)
464	A12	Hermaphroditic creator. Referenced in Hindu religious texts, Linked to India, Linked to Greece, Linked to Egypt, In the historic region of Aztec
465	A12	Hermaphroditic creator. The creator is half man and half woman or is thought of as both male and female. In the historic region of Aztec, Referenced in Hindu religious texts, Linked to Egypt, Linked to India, Linked to Greece
466	A12.1	Male and female creators. Linked to Japan, Found in Hawaii
467	A120	Nature and appearance of the gods. Referenced in Jewish religious texts
468	A120.1	God as shape-shifter. Linked to Ireland
469	A120.2	Size-changing god. Found in Hawaii
470	A120.3	Incorporeal god. Referenced in Jewish religious texts
471	A120.4	Formless gods. Located in Tonga
472	A1200	Creation of man. Linked to Eskimo (Bering Strait)
473	A1201	Man created to rule the earth. Associated with the tribe Africa (Fang)
474	A1205	Unacceptable gods as first inhabitants of earth. Found in Hawaii
475	A121	Stars as deities.
476	A121.1	Moon as deity. Referenced in Jewish religious texts
477	A121.2	Sun as deity. Referenced in Jewish religious texts, Found in Hawaii
478	A1210	Creation of man by creator. Associated with the tribe Lat. Am. Indian (Cashinawa), Associated with the tribe Am. Indian (Cashinawa), Associated with the tribe Indian (Cashinawa)
479	A1211	Man made from creator's body. Linked to India
480	A1211.0.1	Man springs into existence from deity's body by his mere thinking. Linked to India
481	A1211.1	Man from dirt mixed with creator's blood. Linked to New Britain, In the historic region of Babylonia
482	A1211.2	Man from sweat of creator. In the historic region of Persia, Linked to Lithuania
483	A1211.3	Man from spittle of creator. From the region of Oceania, Linked to Lithuania
484	A1211.3.1	Being made from spittle of the gods. Linked to Iceland
485	A1211.4	Man made from creator's eye. Linked to Egypt
486	A1211.5	Man made from dirt rubbed from creator's (hero's) body. Linked to India
487	A1211.5.1	Man made from broken off toenail of creator. Associated with the tribe So. Am. Indian (Yuracaré)
488	A1211.6	Primeval human pair spring from two drops of urine of creator (woman from half-drop). Linked to India
